epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,26425.1,0.41881,0.64302,0.34275,0.83713,0.88911,0.70395,0.76392,0.62274,0.89444,0.71107,0.75525,0.59842,0.63432,1.06316,0.54111,1.06388,0.000721645,0.000721645,0.000721645
77,26752.5,0.40847,0.6442,0.33931,0.82866,0.88025,0.75102,0.78422,0.64474,0.878,0.73867,0.76541,0.61166,0.62392,1.08641,0.50598,1.05224,0.000712214,0.000712214,0.000712214
78,27075.1,0.40019,0.63186,0.33249,0.82199,0.91554,0.72229,0.77622,0.63824,0.91427,0.72035,0.76528,0.60776,0.63667,1.13246,0.5171,1.06764,0.000702782,0.000702782,0.000702782
79,27394.1,0.40499,0.62959,0.33478,0.8233,0.89552,0.73633,0.78931,0.64179,0.88427,0.7287,0.77288,0.61387,0.62646,1.10016,0.51303,1.06026,0.000693351,0.000693351,0.000693351
80,27711.4,0.40391,0.64618,0.32426,0.82729,0.88422,0.74458,0.78228,0.63475,0.8589,0.73839,0.77321,0.6154,0.64647,1.02898,0.52223,1.07625,0.000683919,0.000683919,0.000683919
81,28028.9,0.40099,0.63571,0.3275,0.82255,0.88197,0.70429,0.7616,0.62065,0.89539,0.70666,0.76624,0.60276,0.64156,1.02185,0.55195,1.06417,0.000674488,0.000674488,0.000674488
82,28357.3,0.40831,0.61347,0.32772,0.82604,0.89979,0.72399,0.77842,0.63705,0.90944,0.72776,0.79069,0.6299,0.64051,1.07207,0.53402,1.0716,0.000665057,0.000665057,0.000665057
83,28678.9,0.39789,0.62288,0.32378,0.82155,0.89031,0.71522,0.77579,0.63191,0.85849,0.72079,0.76845,0.6153,0.62138,1.07653,0.53063,1.0545,0.000655625,0.000655625,0.000655625
84,29000.5,0.40069,0.62527,0.32636,0.83127,0.83732,0.74028,0.76987,0.63653,0.87706,0.71118,0.76647,0.60876,0.6283,1.07363,0.52043,1.0599,0.000646194,0.000646194,0.000646194
85,29317,0.39167,0.61672,0.32747,0.81727,0.89339,0.70306,0.77386,0.6385,0.8968,0.69984,0.76807,0.61264,0.6235,1.05115,0.54235,1.05879,0.000636762,0.000636762,0.000636762
86,29642.8,0.3899,0.62485,0.32238,0.81699,0.85824,0.72709,0.78576,0.64514,0.86418,0.72079,0.77318,0.61773,0.63792,1.0813,0.52039,1.08118,0.000627331,0.000627331,0.000627331
87,29966.6,0.38983,0.60191,0.31933,0.81832,0.87328,0.70569,0.78379,0.63477,0.90556,0.68474,0.76765,0.61273,0.62482,1.09373,0.52677,1.06182,0.0006179,0.0006179,0.0006179
88,30286.2,0.38,0.59834,0.31348,0.81501,0.85459,0.71201,0.77872,0.62959,0.83475,0.71332,0.76014,0.59594,0.61232,1.04879,0.505,1.05745,0.000608468,0.000608468,0.000608468
89,30606.4,0.38388,0.59016,0.31338,0.81986,0.87126,0.71842,0.79349,0.6471,0.83133,0.73365,0.77589,0.62094,0.60743,1.03143,0.49907,1.05781,0.000599037,0.000599037,0.000599037
90,30947.4,0.38159,0.60316,0.3129,0.81901,0.85855,0.72935,0.78095,0.64309,0.86877,0.74159,0.77592,0.61937,0.61897,1.06298,0.50105,1.06268,0.000589605,0.000589605,0.000589605
91,31291.2,0.37596,0.62547,0.30978,0.80816,0.85629,0.71296,0.77124,0.62741,0.8514,0.73066,0.76159,0.60731,0.63284,1.07675,0.5257,1.07347,0.000580174,0.000580174,0.000580174
92,380.104,1.02139,1.1958,1.31538,3.02866,0.55607,0.63945,0.53369,0.42421,0.66629,0.66583,0.62547,0.46291,0.9644,1.47369,1.03517,2.05037,0.000570743,0.000570743,0.000570743
93,721.212,0.66778,0.86347,0.78231,1.06171,0.54004,0.69635,0.56734,0.44802,0.54437,0.69058,0.55414,0.42768,0.84347,1.20877,0.97222,1.36553,0.000561311,0.000561311,0.000561311
